Job title,Id,Frequency,Salary $/h,Work hours h/w,Physicality (0-3),Sociality (0-3),Flexibility (0-3),Concentration (0-3),Monotonity (0-3),gig (bool),Remote (bool),Tags,PosX,PosY
amusement park staff,0,1,10,35,0,2,1,2,2,0,0,"sales, customer service",60.17785080394542,24.945085518002955
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.236075272557656,24.893294569287313
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.18150360003642,24.939524235376147
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.21815915582573,24.929126145063023
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.21698574899774,24.86266431691207
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.19968364465743,24.8817666887618
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.185532198568744,24.885214567658373
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.21850835049994,24.93183954762887
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.18358668231186,24.869754728012985
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.203928654757526,24.922051599191338
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.16018573664822,24.89860794092157
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.24020615705066,24.8773892165402
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.227212302988356,24.902445761865266
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.17493106843163,24.91906189331705
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.16905840219921,24.89853976584665
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.20758622277249,24.899683455006016
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.18678708934685,24.905090603658675
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.1841569758655,24.87347940491477
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.231459175711116,24.86884221037839
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.202391865322454,24.889007827825584
babysitter,1,20,11,25,2,2,2,2,2,1,0,"children, activities",60.19119933823708,24.938447413196418
baker,2,5,12,30,1,0,1,3,1,0,0,"food, baking",60.22508164105689,24.90624782388453
baker,2,5,12,30,1,0,1,3,1,0,0,"food, baking",60.216133790453135,24.93801905113518
baker,2,5,12,30,1,0,1,3,1,0,0,"food, baking",60.190428824073905,24.936018973716216
baker,2,5,12,30,1,0,1,3,1,0,0,"food, baking",60.16632000106164,24.92932038517324
baker,2,5,12,30,1,0,1,3,1,0,0,"food, baking",60.19734921498471,24.939652212819613
bartender,3,10,10,35,0,2,1,2,2,0,0,"beer, wine, drinks, coctails, legal age",60.19719950068719,24.88612816607512
bartender,3,10,10,35,0,2,1,2,2,0,0,"beer, wine, drinks, coctails, legal age",60.17039755581335,24.909272307958588
bartender,3,10,10,35,0,2,1,2,2,0,0,"beer, wine, drinks, coctails, legal age",60.17124219269394,24.871763744282365
bartender,3,10,10,35,0,2,1,2,2,0,0,"beer, wine, drinks, coctails, legal age",60.1559771747192,24.95087688602893
bartender,3,10,10,35,0,2,1,2,2,0,0,"beer, wine, drinks, coctails, legal age",60.2087546170239,24.943729980786163
bartender,3,10,10,35,0,2,1,2,2,0,0,"beer, wine, drinks, coctails, legal age",60.23768357502366,24.86040293965229
bartender,3,10,10,35,0,2,1,2,2,0,0,"beer, wine, drinks, coctails, legal age",60.2388319506422,24.87842592773871
bartender,3,10,10,35,0,2,1,2,2,0,0,"beer, wine, drinks, coctails, legal age",60.21868998225298,24.867880206568483
bartender,3,10,10,35,0,2,1,2,2,0,0,"beer, wine, drinks, coctails, legal age",60.22913409173047,24.94280739563969
bartender,3,10,10,35,0,2,1,2,2,0,0,"beer, wine, drinks, coctails, legal age",60.16794211839842,24.860686065301213
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.22547594098307,24.888776183162328
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.19393933070596,24.879044380148915
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.16204612854804,24.902756494692873
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.2336812160613,24.889537548512248
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.190192439782216,24.94363090721306
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.210014873692685,24.9526092920048
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.15838334064925,24.94429477305109
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.20204382685251,24.88839552715059
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.178149134497346,24.90735792837
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.17282694757767,24.950444184280094
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.24107304266607,24.911414623345443
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.23787436297597,24.88376203001955
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.21453358762867,24.888887340200572
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.20281002400375,24.901755437438467
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.24236780027045,24.879957391027972
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.16184366097216,24.903895600196947
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.215072276156384,24.903656937637287
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.211087247042656,24.880212216414925
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.23343506102336,24.90229433935643
camp counselor,4,20,10,40,2,3,0,3,0,0,0,"children, outdoors, activities",60.21330590154154,24.87718144238032
car washer,5,5,9,20,3,1,3,2,3,0,0,"car, cleaning, outdoors",60.22784714782949,24.875721311423536
car washer,5,5,9,20,3,1,3,2,3,0,0,"car, cleaning, outdoors",60.17639518705739,24.949659552258588
car washer,5,5,9,20,3,1,3,2,3,0,0,"car, cleaning, outdoors",60.196356604856824,24.877225124551078
car washer,5,5,9,20,3,1,3,2,3,0,0,"car, cleaning, outdoors",60.166130309256026,24.88526337212502
car washer,5,5,9,20,3,1,3,2,3,0,0,"car, cleaning, outdoors",60.20345839692736,24.908697354514484
cashier,6,10,10,35,1,2,2,2,3,0,0,"sales, customer service",60.20203693493309,24.953888704129128
cashier,6,10,10,35,1,2,2,2,3,0,0,"sales, customer service",60.239923395208606,24.867226058648768
cashier,6,10,10,35,1,2,2,2,3,0,0,"sales, customer service",60.17089947431357,24.87659605078351
cashier,6,10,10,35,1,2,2,2,3,0,0,"sales, customer service",60.20736455044728,24.92261219599798
cashier,6,10,10,35,1,2,2,2,3,0,0,"sales, customer service",60.175304696546746,24.95506029445487
cashier,6,10,10,35,1,2,2,2,3,0,0,"sales, customer service",60.16290632885193,24.906408980232467
cashier,6,10,10,35,1,2,2,2,3,0,0,"sales, customer service",60.19895707705262,24.883971837946163
cashier,6,10,10,35,1,2,2,2,3,0,0,"sales, customer service",60.23473992728875,24.88859129326247
cashier,6,10,10,35,1,2,2,2,3,0,0,"sales, customer service",60.23607489399192,24.93791665082087
cashier,6,10,10,35,1,2,2,2,3,0,0,"sales, customer service",60.16008814699644,24.89741285564225
church worker,7,5,10,35,1,2,1,2,2,0,0,religion,60.20699225629531,24.871098059929928
church worker,7,5,10,35,1,2,1,2,2,0,0,religion,60.19783303369639,24.908790678285424
church worker,7,5,10,35,1,2,1,2,2,0,0,religion,60.20109459362767,24.9418656965136
church worker,7,5,10,35,1,2,1,2,2,0,0,religion,60.239926879858295,24.898446620057527
church worker,7,5,10,35,1,2,1,2,2,0,0,religion,60.16130031329616,24.899141494731087
cleaner,8,5,8,25,1,0,2,1,3,0,0,cleaning,60.17360960931468,24.94876903527864
cleaner,8,5,8,25,1,0,2,1,3,0,0,cleaning,60.23255414458322,24.899960759472087
cleaner,8,5,8,25,1,0,2,1,3,0,0,cleaning,60.20246637700173,24.910311000596625
cleaner,8,5,8,25,1,0,2,1,3,0,0,cleaning,60.19500590765627,24.939173970742488
cleaner,8,5,8,25,1,0,2,1,3,0,0,cleaning,60.202979290265,24.943797783991
coach,9,2,9,30,3,3,3,3,2,0,0,"sports, teaching, activities",60.243508586641816,24.909237717131273
coach,9,2,9,30,3,3,3,3,2,0,0,"sports, teaching, activities",60.17045541653869,24.891308811060505
construction worker,10,5,10,40,2,1,1,3,2,0,0,outdoors,60.23295986780524,24.89492256626121
construction worker,10,5,10,40,2,1,1,3,2,0,0,outdoors,60.182029632060654,24.94313619037008
construction worker,10,5,10,40,2,1,1,3,2,0,0,outdoors,60.204044152231674,24.93942939681105
construction worker,10,5,10,40,2,1,1,3,2,0,0,outdoors,60.19624174268721,24.91938903354784
construction worker,10,5,10,40,2,1,1,3,2,0,0,outdoors,60.19527872838872,24.95493693858908
cook,11,5,11,35,1,0,2,3,2,0,0,"food, baking",60.186682541622226,24.889441700743447
cook,11,5,11,35,1,0,2,3,2,0,0,"food, baking",60.17631717912735,24.911068022771634
cook,11,5,11,35,1,0,2,3,2,0,0,"food, baking",60.22116074098484,24.871974765685355
cook,11,5,11,35,1,0,2,3,2,0,0,"food, baking",60.20794558981822,24.939116983325068
cook,11,5,11,35,1,0,2,3,2,0,0,"food, baking",60.16201111249927,24.94977694976449
customer service,12,1,10,40,0,3,2,1,3,0,1,customer service,,
delivery person,13,10,11,30,1,0,3,1,2,1,0,"car, bike, delivery",60.21006087140644,24.953854667070054
delivery person,13,10,11,30,1,0,3,1,2,1,0,"car, bike, delivery",60.17855497329026,24.93547236658948
delivery person,13,10,11,30,1,0,3,1,2,1,0,"car, bike, delivery",60.23625882966258,24.86622789163224
delivery person,13,10,11,30,1,0,3,1,2,1,0,"car, bike, delivery",60.22154469677989,24.90796114366013
delivery person,13,10,11,30,1,0,3,1,2,1,0,"car, bike, delivery",60.243443268142975,24.889444289974538
delivery person,13,10,11,30,1,0,3,1,2,1,0,"car, bike, delivery",60.18967348665238,24.86950226648145
delivery person,13,10,11,30,1,0,3,1,2,1,0,"car, bike, delivery",60.21891280658307,24.906176451864727
delivery person,13,10,11,30,1,0,3,1,2,1,0,"car, bike, delivery",60.21423032530012,24.8657464584198
delivery person,13,10,11,30,1,0,3,1,2,1,0,"car, bike, delivery",60.155688826008465,24.864383554918057
